#,Date-time,Nest,Egg,Ambient
1,9/18/2007 13:00,24.91,34.43,20.91
2,9/18/2007 13:01,25.09,34.85,20.91
3,9/18/2007 13:02,25.09,34.85,20.91
4,9/18/2007 13:03,25.09,34.85,20.91
5,9/18/2007 13:04,25.27,34.85,20.74
6,9/18/2007 13:05,25.27,34.43,20.74
7,9/18/2007 13:06,25.27,34.43,20.74
8,9/18/2007 13:07,25.27,34.85,20.74
9,9/18/2007 13:08,25.27,35.27,20.74
10,9/18/2007 13:09,25.27,35.27,20.74
11,9/18/2007 13:10,25.44,35.27,20.74
12,9/18/2007 13:11,25.44,35.27,20.74
13,9/18/2007 13:12,25.44,35.7,20.74
14,9/18/2007 13:13,25.62,35.7,20.74
15,9/18/2007 13:14,25.62,35.7,20.74
16,9/18/2007 13:15,25.62,35.7,20.74
17,9/18/2007 13:16,25.8,35.7,20.74
18,9/18/2007 13:17,25.8,35.7,20.74
19,9/18/2007 13:18,25.8,35.7,20.74
20,9/18/2007 13:19,25.8,36.13,20.74
21,9/18/2007 13:20,25.8,36.13,20.74
22,9/18/2007 13:21,25.98,36.13,20.74
23,9/18/2007 13:22,25.98,36.13,20.74
24,9/18/2007 13:23,25.98,35.7,20.74
25,9/18/2007 13:24,25.98,35.7,20.74
26,9/18/2007 13:25,25.8,34.85,20.74
27,9/18/2007 13:26,25.62,33.59,20.91
28,9/18/2007 13:27,25.62,33.17,20.74
29,9/18/2007 13:28,25.44,32.34,20.74
30,9/18/2007 13:29,25.27,31.93,20.74
31,9/18/2007 13:30,25.09,31.52,20.74
32,9/18/2007 13:31,24.91,31.12,20.74
33,9/18/2007 13:32,24.91,30.71,20.74
34,9/18/2007 13:33,24.74,30.31,20.91
35,9/18/2007 13:34,24.74,29.9,20.91
36,9/18/2007 13:35,24.56,29.5,20.91
37,9/18/2007 13:36,24.38,29.5,20.91
38,9/18/2007 13:37,24.38,29.1,20.74
39,9/18/2007 13:38,24.21,28.7,20.74
40,9/18/2007 13:39,24.21,28.31,20.74
41,9/18/2007 13:40,24.03,28.31,20.74
42,9/18/2007 13:41,24.03,27.91,20.74
43,9/18/2007 13:42,23.86,27.52,20.74
44,9/18/2007 13:43,23.86,27.52,20.74
45,9/18/2007 13:44,23.68,27.12,20.74
46,9/18/2007 13:45,23.68,27.12,20.74
47,9/18/2007 13:46,23.68,26.73,20.74
48,9/18/2007 13:47,23.51,26.73,20.74
49,9/18/2007 13:48,23.51,26.34,20.74
50,9/18/2007 13:49,23.33,26.34,20.91
51,9/18/2007 13:50,23.33,25.95,20.91
52,9/18/2007 13:51,23.33,25.95,20.91
53,9/18/2007 13:52,23.16,25.56,20.91
54,9/18/2007 13:53,23.16,25.56,21.08
55,9/18/2007 13:54,23.16,25.56,21.08
56,9/18/2007 13:55,22.98,25.17,21.08
57,9/18/2007 13:56,22.98,25.17,21.08
58,9/18/2007 13:57,22.98,25.17,21.08
59,9/18/2007 13:58,22.98,24.79,21.08
60,9/18/2007 13:59,22.81,24.79,21.08
61,9/18/2007 14:00,22.81,24.79,21.08
62,9/18/2007 14:01,22.81,24.4,20.91
63,9/18/2007 14:02,22.64,24.4,20.91
64,9/18/2007 14:03,22.64,24.4,20.91
65,9/18/2007 14:04,22.64,24.01,20.91
66,9/18/2007 14:05,22.64,24.01,20.91
67,9/18/2007 14:06,22.46,24.01,20.91
68,9/18/2007 14:07,22.46,23.63,20.91
69,9/18/2007 14:08,22.46,23.63,21.08
70,9/18/2007 14:09,22.46,23.63,21.08
71,9/18/2007 14:10,22.29,23.63,21.08
72,9/18/2007 14:11,22.29,23.63,21.08
73,9/18/2007 14:12,22.29,23.63,21.08
74,9/18/2007 14:13,22.29,23.24,21.08
75,9/18/2007 14:14,22.29,23.24,21.08
76,9/18/2007 14:15,22.29,23.24,21.08
77,9/18/2007 14:16,22.12,23.24,21.08
78,9/18/2007 14:17,22.12,23.24,21.08
79,9/18/2007 14:18,22.12,23.24,21.08
80,9/18/2007 14:19,22.12,23.24,21.08
81,9/18/2007 14:20,22.12,22.86,21.08
82,9/18/2007 14:21,22.12,22.86,21.08
83,9/18/2007 14:22,22.12,22.86,21.08
84,9/18/2007 14:23,21.95,22.86,21.08
85,9/18/2007 14:24,21.95,22.86,21.08
86,9/18/2007 14:25,21.95,22.86,20.91
87,9/18/2007 14:26,21.95,22.48,20.91
88,9/18/2007 14:27,21.95,24.4,20.91
89,9/18/2007 14:28,21.95,28.31,20.91
90,9/18/2007 14:29,21.95,29.5,20.91
91,9/18/2007 14:30,22.12,29.9,20.91
92,9/18/2007 14:31,22.29,31.12,20.91
93,9/18/2007 14:32,22.64,31.93,20.91
94,9/18/2007 14:33,22.81,32.34,20.91
95,9/18/2007 14:34,22.98,33.17,20.91
96,9/18/2007 14:35,23.33,33.17,20.91
97,9/18/2007 14:36,23.51,34.01,20.91
98,9/18/2007 14:37,23.68,34.01,20.91
99,9/18/2007 14:38,23.86,34.43,20.91
100,9/18/2007 14:39,24.03,34.43,20.91
101,9/18/2007 14:40,24.21,34.85,20.91
102,9/18/2007 14:41,24.38,35.27,20.91
103,9/18/2007 14:42,24.56,35.27,20.91
104,9/18/2007 14:43,24.74,35.27,20.91
105,9/18/2007 14:44,24.91,35.7,20.91
106,9/18/2007 14:45,24.91,35.7,20.91
107,9/18/2007 14:46,25.09,35.7,20.91
108,9/18/2007 14:47,25.27,36.13,20.91
109,9/18/2007 14:48,25.27,36.13,20.91
110,9/18/2007 14:49,25.44,36.13,20.91
111,9/18/2007 14:50,25.44,36.13,20.91
112,9/18/2007 14:51,25.44,36.13,20.91
113,9/18/2007 14:52,25.62,36.13,20.91
114,9/18/2007 14:53,25.44,36.13,20.91
115,9/18/2007 14:54,25.44,35.7,20.91
116,9/18/2007 14:55,25.44,36.13,20.91
117,9/18/2007 14:56,25.27,36.57,20.91
118,9/18/2007 14:57,25.27,36.57,20.91
119,9/18/2007 14:58,25.27,36.57,20.91
120,9/18/2007 14:59,25.27,36.57,20.91
121,9/18/2007 15:00,25.27,36.57,20.91
122,9/18/2007 15:01,25.27,36.57,20.91
123,9/18/2007 15:02,25.27,36.57,20.91
124,9/18/2007 15:03,25.27,36.57,20.91
125,9/18/2007 15:04,25.27,36.57,20.91
126,9/18/2007 15:05,25.27,36.57,20.91
127,9/18/2007 15:06,25.09,35.27,20.91
128,9/18/2007 15:07,24.74,34.01,20.91
129,9/18/2007 15:08,24.38,33.17,20.91
130,9/18/2007 15:09,24.21,32.34,20.91
131,9/18/2007 15:10,24.03,31.52,20.91
132,9/18/2007 15:11,23.86,31.12,20.91
133,9/18/2007 15:12,23.68,30.71,20.91
134,9/18/2007 15:13,23.68,29.9,20.91
135,9/18/2007 15:14,23.51,29.5,20.91
136,9/18/2007 15:15,23.33,29.1,20.91
137,9/18/2007 15:16,23.33,29.1,20.91
138,9/18/2007 15:17,23.33,28.7,20.91
139,9/18/2007 15:18,23.16,28.31,20.91
140,9/18/2007 15:19,23.16,27.91,20.91
141,9/18/2007 15:20,22.98,27.52,20.91
142,9/18/2007 15:21,22.98,27.52,20.91
143,9/18/2007 15:22,22.81,27.12,20.91
144,9/18/2007 15:23,22.81,26.73,20.91
145,9/18/2007 15:24,22.81,26.73,20.91
146,9/18/2007 15:25,22.64,26.34,20.91
147,9/18/2007 15:26,22.64,26.34,20.91
148,9/18/2007 15:27,22.64,25.95,20.91
149,9/18/2007 15:28,22.64,25.56,20.91
150,9/18/2007 15:29,22.64,25.56,20.91
151,9/18/2007 15:30,22.46,25.56,20.91
152,9/18/2007 15:31,22.46,25.17,20.91
153,9/18/2007 15:32,22.46,25.17,20.91
154,9/18/2007 15:33,22.46,25.17,20.91
155,9/18/2007 15:34,22.46,24.79,21.08
156,9/18/2007 15:35,22.46,24.79,21.08
157,9/18/2007 15:36,22.29,24.79,21.08
158,9/18/2007 15:37,22.29,24.4,21.08
159,9/18/2007 15:38,22.29,24.4,21.08
160,9/18/2007 15:39,22.29,24.4,21.08
161,9/18/2007 15:40,22.29,24.4,21.08
162,9/18/2007 15:41,22.29,24.01,21.08
163,9/18/2007 15:42,22.29,24.01,21.08
164,9/18/2007 15:43,22.12,24.01,21.08
165,9/18/2007 15:44,22.12,24.01,21.08
166,9/18/2007 15:45,22.12,23.63,21.08
167,9/18/2007 15:46,22.12,23.63,21.08
168,9/18/2007 15:47,22.29,25.17,21.08
169,9/18/2007 15:48,22.64,26.73,21.08
170,9/18/2007 15:49,22.81,27.91,21.08
171,9/18/2007 15:50,23.16,29.5,21.08
172,9/18/2007 15:51,23.33,30.31,21.08
173,9/18/2007 15:52,23.51,31.12,21.08
174,9/18/2007 15:53,23.68,31.93,21.08
175,9/18/2007 15:54,23.86,31.93,21.08
176,9/18/2007 15:55,24.03,31.52,21.08
177,9/18/2007 15:56,24.03,32.34,21.08
178,9/18/2007 15:57,24.21,33.17,21.08
179,9/18/2007 15:58,24.21,33.59,21.08
180,9/18/2007 15:59,24.38,33.59,21.08
181,9/18/2007 16:00,24.38,34.01,21.08
182,9/18/2007 16:01,24.56,34.43,21.08
183,9/18/2007 16:02,24.56,34.43,21.08
184,9/18/2007 16:03,24.74,34.85,21.08
185,9/18/2007 16:04,24.74,34.85,21.08
186,9/18/2007 16:05,24.91,35.27,21.08
187,9/18/2007 16:06,24.91,35.27,21.08
188,9/18/2007 16:07,25.09,35.27,21.08
189,9/18/2007 16:08,25.09,35.7,21.08
190,9/18/2007 16:09,25.09,35.7,21.08
191,9/18/2007 16:10,25.09,35.7,21.08
192,9/18/2007 16:11,25.27,35.7,21.08
193,9/18/2007 16:12,25.27,36.13,21.08
194,9/18/2007 16:13,25.27,36.13,21.08
195,9/18/2007 16:14,25.44,36.13,21.08
196,9/18/2007 16:15,25.44,36.13,21.08
197,9/18/2007 16:16,25.44,36.13,21.08
198,9/18/2007 16:17,25.44,36.13,21.08
199,9/18/2007 16:18,25.44,34.85,21.08
200,9/18/2007 16:19,25.44,34.43,21.08
201,9/18/2007 16:20,25.44,34.43,20.91
202,9/18/2007 16:21,25.62,34.43,20.91
203,9/18/2007 16:22,25.8,34.43,20.91
204,9/18/2007 16:23,25.8,34.43,20.91
205,9/18/2007 16:24,25.8,34.85,20.91
206,9/18/2007 16:25,25.98,34.85,20.91
207,9/18/2007 16:26,25.98,34.85,20.91
208,9/18/2007 16:27,25.98,34.85,20.91
209,9/18/2007 16:28,25.98,35.7,20.91
210,9/18/2007 16:29,25.98,36.13,20.91
211,9/18/2007 16:30,25.98,35.27,20.91
212,9/18/2007 16:31,25.98,35.27,20.91
213,9/18/2007 16:32,25.98,35.7,20.91
214,9/18/2007 16:33,25.98,36.13,20.91
215,9/18/2007 16:34,25.98,36.57,20.91
216,9/18/2007 16:35,25.98,36.57,20.91
217,9/18/2007 16:36,25.98,36.57,20.91
218,9/18/2007 16:37,25.98,36.57,20.91
219,9/18/2007 16:38,25.98,36.57,20.91
220,9/18/2007 16:39,25.98,36.57,20.91
221,9/18/2007 16:40,25.98,36.57,20.91
222,9/18/2007 16:41,25.98,36.57,20.91
223,9/18/2007 16:42,25.98,36.57,20.91
224,9/18/2007 16:43,25.98,36.57,20.91
225,9/18/2007 16:44,25.98,36.57,20.91
226,9/18/2007 16:45,25.98,36.57,20.91
227,9/18/2007 16:46,25.98,36.57,20.91
228,9/18/2007 16:47,25.98,36.57,20.91
229,9/18/2007 16:48,25.98,36.57,20.91
230,9/18/2007 16:49,25.98,36.57,20.91
231,9/18/2007 16:50,25.98,36.57,20.91
232,9/18/2007 16:51,25.98,36.57,20.91
233,9/18/2007 16:52,25.98,36.57,20.91
234,9/18/2007 16:53,25.98,36.57,20.91
235,9/18/2007 16:54,25.98,36.57,20.91
236,9/18/2007 16:55,25.98,36.57,20.91
237,9/18/2007 16:56,25.98,36.57,20.91
